article,accession,count,dbName,dbId
PMC4005389,"rs11988795",2,,rs11988795
PMC4005389,"ENST00000262209",1,,ENST00000262209
PMC4005389,"rs3824151",1,,rs3824151
PMC4005389,"rs35427625",1,,rs35427625
PMC4311427,"KM289152",1,,KM289152
PMC4311427,"FR719225",1,,FR719225
PMC4311427,"KM289151",1,,KM289151
PMC4327928,"1OYA",4,,1OYA
PMC4327928,"4RNU",4,,4RNU
PMC4327928,"4RNX",3,,4RNX
PMC4327928,"4RNV",2,,4RNV
PMC4327928,"1K03",1,,1K03
PMC4327928,"4GWE",1,,4GWE
PMC4327928,"4GE8",1,,4GE8
PMC4327928,"4RNW",1,,4RNW
PMC4412152,"10.6084/m9.figshare.979135",1,,10.6084/m9.figshare.979135
